date,gregorianYear,buddhistEraYear,weekday,eventId,nameZh,nameThai,nameEn,category,thaiLunarText,thaiLunarMonth,thaiLunarDay,thaiLunarHalf,thaiLunarDayInHalf,note
2084-09-07,2084,2627,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 10,10,8,waxing,8,
2084-09-14,2084,2627,星期四,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 10,10,15,waxing,15,
2084-09-22,2084,2627,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 10,10,23,waning,8,
2084-09-29,2084,2627,星期五,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 10,10,30,waning,15,
2084-10-07,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 11,11,8,waxing,8,
2084-10-14,2084,2627,星期六,ok_phansa,出雨安居,ออกพรรษา,Ok Phansa,thai-buddhist-major,ขึ้น 15 ค่ำ เดือน 11,11,15,waxing,15,
2084-10-14,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 11,11,15,waxing,15,
2084-10-22,2084,2627,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 11,11,23,waning,8,
2084-10-28,2084,2627,星期六,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 11,11,29,waning,14,
2084-11-05,2084,2627,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 12,12,8,waxing,8,
2084-11-12,2084,2627,星期日,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 12,12,15,waxing,15,
2084-11-20,2084,2627,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 12,12,23,waning,8,
2084-11-27,2084,2627,星期一,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 15 ค่ำ เดือน 12,12,30,waning,15,
2084-12-05,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 1,1,8,waxing,8,
2084-12-12,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 15 ค่ำ เดือน 1,1,15,waxing,15,
2084-12-20,2084,2627,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 8 ค่ำ เดือน 1,1,23,waning,8,
2084-12-26,2084,2627,星期二,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,แรม 14 ค่ำ เดือน 1,1,29,waning,14,
2085-01-03,2085,2628,星期三,wan_phra,泰國佛日,วันพระ,Wan Phra,thai-buddhist,ขึ้น 8 ค่ำ เดือน 2,2,8,waxing,8,
